logFC	logCPM	PValue	FDR
ENSG00000004468	-0.113205333927675	2.45536710598168	0.687180337212517	0.732547108319234
ENSG00000004478	0.240168186090369	6.751168893654	0.0365551612776137	0.0534120910108884
ENSG00000004487	0.330832340659242	4.86927523607831	4.5597810136504e-05	0.000110169698957076
ENSG00000004534	0.525282376473744	5.02256389742469	3.44402991166383e-08	1.29958485527604e-07
ENSG00000004660	0.463669553560465	0.629809010454536	0.00987717006695215	0.0160831479283367
ENSG00000004700	0.505076781549167	2.9654069613288	0.00151117279194732	0.00285805658516963
ENSG00000004766	0.483821366969132	3.40574531803602	9.49367366372778e-08	3.36629611399833e-07
ENSG00000004776	2.56533904288609	5.51355061012375	5.38941998494216e-09	2.29184129288746e-08
ENSG00000004777	1.70586052272305	1.92623489243864	4.44858793366861e-25	1.46024087136553e-23
ENSG00000004779	-0.276769030508974	5.62666633906921	0.0146294488817536	0.0231060256813578
ENSG00000004799	-1.40020368935409	7.76876734278725	4.89065393855593e-07	1.57150916482215e-06
ENSG00000004838	1.60673384086457	-0.824963701393034	4.00042353812791e-16	4.51440518217346e-15
ENSG00000004864	-0.760577612979556	6.88973753865562	9.93028613085951e-09	4.05968152095229e-08
ENSG00000004866	-0.477335976459699	5.1531967130488	1.36205563969205e-08	5.45185955647096e-08
ENSG00000004897	0.0950316791673736	5.05228630234556	0.18583147279342	0.233235873053868
ENSG00000004961	-0.0362460066148307	4.15784186758264	0.657979833076521	0.705986710068732
ENSG00000004975	1.09796313059484	3.74830490772442	6.00262536501715e-23	1.56259370572979e-21
ENSG00000005001	-0.354891102195021	0.847724475901069	0.47040534279258	0.529231238156556
ENSG00000005007	0.29480474924656	6.34771698251575	0.000150418864120627	0.000333917626533609
ENSG00000005020	0.254275431429314	3.8484885081524	0.0863603718331165	0.116704257270986
ENSG00000005022	0.11510525223395	7.93452069293757	0.29117380998675	0.346702488518016
ENSG00000005059	0.810115405377465	1.77213461176145	0.000199999925655075	0.000435386501595484
ENSG00000005075	0.430566600150621	5.15272858541295	0.000634586459747797	0.00127413117958962
ENSG00000005100	0.0259917658893712	3.72897204379074	0.744983061113478	0.783944969188559
ENSG00000005102	1.60855225763363	-1.24825221811055	2.38201227871212e-06	6.93551907890475e-06
ENSG00000005108	0.983035837511379	1.98687928880736	5.86426691880077e-06	1.61714599625001e-05
ENSG00000005156	0.505828368451129	3.73906771572871	3.8824229179896e-09	1.68322543863092e-08
ENSG00000005175	0.223419458439727	3.83943883740807	0.000816146442578729	0.0016118623417991
ENSG00000005187	-2.41142564936967	5.73176407463658	1.1595234308874e-26	4.59416464202698e-25
ENSG00000005189	1.50380307214656	1.75934144174656	8.35612713504821e-19	1.3432530375804e-17
ENSG00000005194	0.22018997045549	4.58699762950134	0.00375893537122516	0.00662444689503265
ENSG00000005206	0.676328832242802	4.80251091050847	6.27394105108071e-11	3.49940005044465e-10
ENSG00000005238	0.408705192016511	3.25644137258404	0.00123026242390044	0.002355754788282
ENSG00000005243	-0.335121788091116	4.35698404684308	0.0746152377006073	0.102261249200649
ENSG00000005249	-0.389646178450989	2.02174103203208	0.234407029883602	0.286195184520888
ENSG00000005302	0.14832040638807	3.47520739578896	0.0204757292539126	0.0314935799760052
ENSG00000005339	-0.151296298386879	5.6938882469595	0.111521792314747	0.147136130274144
ENSG00000005379	0.500262326267977	2.24261660867866	0.00234769274909949	0.00428342602401883
ENSG00000005421	-1.48683711910309	8.83393959420908	6.55007137206085e-09	2.75158065951963e-08
ENSG00000005436	-0.165721558603433	4.09800766428786	0.103325384369265	0.137400533306301
ENSG00000005448	1.06027177161751	1.80416364211663	9.55802855214574e-09	3.91639675617307e-08
ENSG00000005469	-0.151938238813761	4.97835243738824	0.285133544887655	0.340456834081589
ENSG00000005471	-0.664748869174534	7.1817772772444	0.0109007675175575	0.0176175207642251
ENSG00000005483	0.287999389007533	4.76731386131093	0.0093270534815398	0.0152536628808017
ENSG00000005486	0.060339436042339	6.34327775992649	0.614964009091449	0.667429262431337
ENSG00000005513	0.441234768928038	-1.85759524100148	0.15798326265716	0.201632107895345
ENSG00000005700	-0.214803755176348	6.08689517264141	0.0635336936790108	0.0884990158375412
ENSG00000005801	0.751856837997803	3.11437034314382	8.57006074708181e-11	4.70281429891726e-10
ENSG00000005810	-0.553490683177981	4.43305570868769	9.55773088075225e-06	2.55270175327352e-05
ENSG00000005812	-0.897155481999925	4.80726456029737	4.05647333671906e-15	4.00262437635231e-14
ENSG00000005844	0.182205607706381	4.85455529284943	0.309454218738537	0.365853597546422
ENSG00000005882	-0.666842589103889	5.19797776229303	5.5368561696306e-07	1.76747060832858e-06
ENSG00000005884	1.40835499295699	3.88308010002287	2.01187727497872e-07	6.84632017069944e-07
ENSG00000005889	0.11800598679664	4.39640928693412	0.353688083306919	0.411549339706634
ENSG00000005893	-0.176952930112157	8.03116941704748	0.112043532630211	0.147726970970626
ENSG00000005961	-0.116034968771196	-1.41221289647333	0.708320503991938	0.751121218287272
ENSG00000005981	0.0322759633802258	0.782040170086491	0.923650214304609	0.938414010444016
ENSG00000006007	-0.294786515249358	5.01701172672919	0.000460869020879087	0.00094809148531256
ENSG00000006015	0.0163072045085431	4.70913407581788	0.897293472240836	0.916241767635568
ENSG00000006016	1.60752557511395	-0.160648815357789	2.06162272080484e-11	1.2312240870464e-10
